customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
2585-['H' 'D' 'B' 'F' 'V'],Female,0,No,No,14,Yes,No,DSL,No,No,Yes,Yes,No,Yes,One year,No,Mailed check,52.96,754.92,No
4843-['V' 'R' 'Z' 'L' 'B'],Male,0,Yes,No,7,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,66.2,463.52,Yes
5297-['D' 'N' 'P' 'O' 'H'],Male,0,Yes,Yes,26,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),51.06,1334.89,Yes
8629-['W' 'Y' 'H' 'U' 'P'],Female,0,Yes,No,0,No,No phone service,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),57.19, ,Yes
8916-['R' 'O' 'U' 'X' 'Z'],Male,0,No,No,68,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),68.63,4650.43,No
5859-['M' 'I' 'O' 'M' 'A'],Female,0,Yes,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),18.25,165.76,No
9006-['I' 'X' 'A' 'L' 'H'],Male,0,No,No,38,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),48.29,1830.73,No
6258-['S' 'Q' 'H' 'C' 'C'],Female,0,No,No,49,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),66.27,3246.65,No
6892-['J' 'G' 'Z' 'I' 'G'],Male,1,Yes,Yes,64,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Two year,No,Electronic check,76.27,4864.93,Yes
9392-['H' 'L' 'B' 'A' 'P'],Male,0,Yes,No,9,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,78.15,695.49,Yes
3454-['X' 'E' 'C' 'L' 'H'],Female,1,No,No,59,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Two year,No,Bank transfer (automatic),87.6,5173.20,No
9154-['C' 'A' 'C' 'E' 'O'],Female,0,Yes,Yes,3,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,74.92,215.22,Yes
4840-['E' 'Z' 'W' 'N' 'G'],Female,0,Yes,No,58,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),76.54,4463.57,No
7938-['I' 'O' 'O' 'Z' 'J'],Female,0,No,No,69,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,64.77,4460.31,Yes
8035-['M' 'S' 'G' 'Q' 'T'],Male,0,Yes,Yes,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.25,35.41,Yes
6116-['D' 'E' 'W' 'G' 'M'],Female,0,Yes,No,3,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,72.0,212.24,Yes
2678-['K' 'D' 'M' 'G' 'S'],Female,0,Yes,No,42,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Two year,Yes,Electronic check,73.51,3068.56,No
4157-['B' 'J' 'M' 'Y' 'U'],Female,0,No,No,1,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,83.18,83.18,Yes
3693-['L' 'L' 'T' 'K' 'Z'],Male,0,Yes,No,6,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),82.93,484.97,Yes
6592-['G' 'A' 'A' 'Y' 'Y'],Male,0,No,No,6,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,81.92,508.93,Yes
6864-['C' 'G' 'F' 'H' 'I'],Female,0,Yes,No,33,Yes,No,DSL,No,No,Yes,Yes,Yes,No,One year,No,Mailed check,51.97,1716.70,No
5413-['E' 'A' 'S' 'J' 'L'],Male,0,Yes,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),75.14,673.89,Yes
1663-['O' 'V' 'X' 'I' 'T'],Male,1,No,No,33,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Two year,No,Electronic check,70.76,2329.94,No
6232-['Q' 'Z' 'T' 'L' 'G'],Female,0,Yes,No,38,Yes,No,DSL,No,Yes,No,No,Yes,No,Two year,No,Electronic check,57.74,2210.60,No
8554-['Q' 'E' 'Q' 'X' 'Q'],Male,0,Yes,No,60,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,One year,Yes,Mailed check,83.87,5033.25,Yes
1698-['Q' 'B' 'B' 'V' 'W'],Female,0,Yes,No,70,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,75.9,5296.78,Yes
9164-['A' 'A' 'S' 'B' 'U'],Female,1,No,No,36,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),22.08,807.05,No
2707-['Z' 'F' 'W' 'D' 'W'],Male,0,Yes,No,20,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),50.95,1029.91,Yes
1202-['X' 'Q' 'F' 'X' 'E'],Female,1,No,No,10,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,75.13,737.78,Yes
3931-['B' 'F' 'V' 'K' 'P'],Male,0,No,No,50,Yes,No,Fiber optic,No,No,No,Yes,No,No,One year,No,Mailed check,70.61,3525.51,No
7287-['A' 'I' 'F' 'P' 'C'],Female,1,Yes,Yes,70,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),98.53,6928.86,No
1659-['D' 'S' 'Z' 'C' 'S'],Female,0,Yes,No,63,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,18.37,1161.93,No
3911-['G' 'T' 'I' 'A' 'H'],Male,0,No,Yes,6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,20.56,179.85,Yes
6759-['G' 'R' 'H' 'A' 'K'],Male,0,No,No,68,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,One year,Yes,Mailed check,85.55,5837.48,No
9155-['Y' 'Y' 'R' 'W' 'J'],Male,0,No,No,61,Yes,No,Fiber optic,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),65.61,4039.83,No
1262-['P' 'Z' 'P' 'Y' 'T'],Female,0,Yes,No,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),18.25,43.85,No
3049-['A' 'P' 'L' 'E' 'E'],Male,0,Yes,No,58,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,No,Electronic check,68.32,3999.34,Yes
8158-['I' 'I' 'C' 'S' 'P'],Male,0,No,No,13,No,No phone service,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Credit card (automatic),85.85,1097.67,Yes
3255-['C' 'T' 'X' 'V' 'X'],Male,0,No,No,35,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,88.89,3108.41,Yes
2648-['H' 'D' 'F' 'H' 'T'],Male,0,No,Yes,14,Yes,No,DSL,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),44.98,618.91,No
9445-['C' 'P' 'Y' 'C' 'Y'],Male,0,Yes,Yes,2,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),84.75,170.36,Yes
3961-['N' 'R' 'B' 'V' 'C'],Female,0,No,No,63,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Electronic check,98.97,6244.37,Yes
1956-['I' 'D' 'A' 'D' 'A'],Female,0,Yes,No,66,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),65.26,4305.74,Yes
5493-['U' 'P' 'T' 'X' 'H'],Female,0,Yes,No,8,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,One year,No,Electronic check,68.25,550.54,Yes
2218-['Q' 'A' 'P' 'L' 'S'],Male,0,No,No,8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.26,149.81,Yes
4446-['V' 'N' 'F' 'F' 'M'],Female,0,No,No,28,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,89.91,2525.79,Yes
9754-['V' 'H' 'B' 'U' 'A'],Male,0,Yes,No,65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,21.74,1420.05,No
8022-['A' 'E' 'P' 'S' 'D'],Female,0,No,Yes,2,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Electronic check,89.74,175.34,Yes
5642-['Q' 'Q' 'L' 'N' 'U'],Male,0,Yes,No,65,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,86.15,5596.34,Yes
2060-['X' 'Q' 'N' 'U' 'C'],Female,0,Yes,Yes,69,No,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,82.51,5674.87,Yes
1699-['A' 'T' 'U' 'W' 'A'],Male,0,No,Yes,42,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),59.74,2511.26,No
4327-['C' 'R' 'Y' 'J' 'V'],Female,0,Yes,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.45,27.66,No
1569-['C' 'H' 'N' 'X' 'R'],Male,1,Yes,No,11,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),84.0,938.58,Yes
8455-['O' 'V' 'W' 'B' 'J'],Male,0,Yes,Yes,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,22.17,48.73,Yes
2409-['Z' 'Q' 'H' 'A' 'I'],Male,0,Yes,No,10,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,48.68,474.49,Yes
8343-['G' 'J' 'W' 'Z' 'C'],Female,1,Yes,No,65,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),88.69,5773.50,No
2841-['Y' 'X' 'M' 'Z' 'G'],Female,0,No,Yes,1,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,71.03,79.71,Yes
8992-['D' 'M' 'T' 'A' 'H'],Male,0,No,No,12,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,83.7,1017.06,Yes
7655-['N' 'P' 'N' 'L' 'S'],Female,1,Yes,No,37,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),61.72,2320.56,No
7614-['O' 'B' 'B' 'W' 'V'],Female,0,No,No,68,No,No phone service,DSL,Yes,No,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),68.07,4610.91,No
5146-['Y' 'Z' 'V' 'Z' 'Z'],Male,0,No,Yes,9,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,90.61,804.92,Yes
8509-['Q' 'T' 'J' 'F' 'O'],Female,0,No,Yes,64,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,96.58,6184.24,No
3491-['E' 'A' 'H' 'U' 'L'],Female,0,Yes,No,45,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,No,Credit card (automatic),73.06,3289.03,Yes
1004-['G' 'D' 'F' 'M' 'T'],Male,1,Yes,No,55,No,No phone service,DSL,No,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),43.07,2374.49,No
5142-['C' 'W' 'H' 'T' 'P'],Female,0,No,Yes,67,Yes,No,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),73.52,4950.27,No
5465-['J' 'S' 'Q' 'X' 'S'],Female,0,Yes,No,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,18.42, ,No
6177-['W' 'Z' 'E' 'Z' 'U'],Male,0,Yes,Yes,39,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,One year,No,Electronic check,83.26,3281.31,Yes
6949-['W' 'I' 'L' 'U' 'A'],Female,0,No,No,62,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Two year,No,Electronic check,63.15,3904.00,No
2081-['Z' 'A' 'O' 'B' 'V'],Male,1,Yes,Yes,68,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,70.99,4838.22,Yes
1559-['Y' 'H' 'M' 'U' 'A'],Female,0,No,No,3,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),76.7,252.52,Yes
4343-['G' 'E' 'V' 'W' 'C'],Male,0,No,No,18,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),95.17,1704.11,Yes
4147-['Z' 'P' 'S' 'E' 'V'],Female,0,No,No,2,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),60.37,124.54,No
3744-['N' 'E' 'O' 'Q' 'N'],Female,0,No,No,66,Yes,No,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Electronic check,72.05,4750.49,No
7617-['P' 'U' 'G' 'D' 'A'],Female,0,Yes,Yes,67,No,No phone service,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,49.95,3323.28,Yes
8421-['E' 'W' 'Z' 'J' 'V'],Female,0,No,No,34,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),72.85,2465.86,Yes
3849-['T' 'J' 'Z' 'S' 'Z'],Male,0,No,No,0,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,67.57, ,Yes
5611-['P' 'X' 'P' 'W' 'B'],Female,0,Yes,No,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.25,34.11,Yes
7303-['T' 'X' 'L' 'R' 'C'],Male,1,No,No,49,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),74.11,3652.96,Yes
3427-['A' 'A' 'S' 'K' 'E'],Male,0,No,No,71,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),20.74,1477.90,No
6387-['C' 'A' 'A' 'H' 'J'],Male,0,No,No,66,Yes,Yes,DSL,Yes,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),51.28,3389.50,No
2066-['L' 'M' 'L' 'N' 'B'],Female,0,No,Yes,65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,21.19,1375.98,No
9945-['C' 'W' 'Q' 'Z' 'H'],Female,0,Yes,No,27,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,104.49,2825.10,Yes
7748-['Z' 'J' 'Z' 'B' 'S'],Male,0,Yes,Yes,71,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),71.51,5082.17,No
9808-['G' 'D' 'Z' 'U' 'R'],Male,0,Yes,No,66,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,One year,No,Electronic check,81.25,5336.30,Yes
1412-['X' 'D' 'Y' 'U' 'Y'],Male,1,Yes,No,18,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,68.44,1241.61,No
9867-['J' 'E' 'I' 'X' 'C'],Female,0,Yes,Yes,62,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),22.68,1405.87,No
2122-['P' 'D' 'R' 'Q' 'G'],Male,0,No,No,28,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,One year,No,Electronic check,71.85,2029.97,No
3143-['X' 'W' 'E' 'L' 'Q'],Male,1,No,No,53,Yes,No,DSL,No,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,64.06,3381.57,No
4766-['M' 'W' 'Y' 'C' 'I'],Female,0,Yes,No,71,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,60.67,4332.77,Yes
6917-['Q' 'Q' 'T' 'P' 'Y'],Male,0,No,No,9,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,53.04,464.76,Yes
2365-['M' 'S' 'Q' 'D' 'L'],Female,0,Yes,No,65,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,No,Mailed check,73.81,4815.19,No
8400-['S' 'L' 'I' 'G' 'N'],Female,1,No,Yes,45,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Electronic check,85.35,3833.79,Yes
3782-['T' 'S' 'Z' 'O' 'P'],Male,0,No,Yes,70,Yes,No,Fiber optic,No,No,No,No,No,No,One year,No,Mailed check,73.93,5184.61,Yes
5980-['E' 'C' 'L' 'Y' 'T'],Female,0,No,Yes,4,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,One year,Yes,Bank transfer (automatic),75.41,321.60,Yes
6588-['D' 'U' 'W' 'P' 'Y'],Male,0,Yes,No,59,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,Yes,One year,No,Mailed check,82.09,4851.42,No
2062-['M' 'U' 'J' 'Z' 'G'],Female,0,Yes,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,62.8,62.80,Yes
7541-['Z' 'E' 'C' 'W' 'K'],Female,0,No,Yes,9,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,77.72,691.95,Yes
9010-['R' 'O' 'L' 'I' 'J'],Female,0,No,No,16,Yes,Yes,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),53.99,859.41,No
1953-['L' 'Q' 'F' 'G' 'N'],Male,1,No,No,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,22.43,610.56,No
2191-['J' 'I' 'R' 'Z' 'B'],Female,0,Yes,No,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,18.25,1298.97,No
2540-['E' 'F' 'S' 'H' 'P'],Female,0,Yes,No,1,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,One year,No,Mailed check,78.63,97.78,Yes
2365-['T' 'Q' 'G' 'Y' 'M'],Male,1,Yes,Yes,5,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Mailed check,70.12,367.30,Yes
4141-['S' 'L' 'V' 'G' 'J'],Female,0,No,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),18.25,128.71,No
6977-['S' 'G' 'C' 'M' 'M'],Female,0,No,No,27,Yes,No,DSL,Yes,No,No,Yes,No,No,Two year,Yes,Electronic check,52.94,1440.97,No
5849-['Z' 'T' 'H' 'I' 'G'],Female,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.25,18.25,Yes
4072-['C' 'M' 'Y' 'Q' 'Y'],Female,0,Yes,No,71,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Electronic check,49.33,3497.16,No
1823-['A' 'F' 'U' 'F' 'Z'],Female,0,No,No,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),20.28,859.78,No
4627-['M' 'M' 'O' 'U' 'P'],Female,0,No,No,65,Yes,Yes,DSL,Yes,No,No,No,No,No,Two year,No,Mailed check,45.48,2949.60,No
6348-['D' 'C' 'S' 'T' 'Y'],Female,0,Yes,No,63,Yes,No,DSL,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),38.83,2441.51,No
7190-['I' 'Q' 'N' 'O' 'A'],Male,0,Yes,No,53,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Credit card (automatic),69.0,3660.48,No
9053-['C' 'P' 'W' 'Y' 'K'],Female,0,No,Yes,69,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,Yes,Electronic check,74.84,5164.67,No
2353-['P' 'H' 'F' 'L' 'X'],Male,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,One year,Yes,Mailed check,57.81,3999.17,No
1667-['U' 'H' 'Z' 'D' 'Z'],Male,0,No,No,3,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,92.68,266.51,Yes
4719-['Z' 'R' 'E' 'I' 'D'],Female,0,Yes,No,69,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),78.51,5379.17,Yes
4775-['V' 'Q' 'I' 'A' 'U'],Male,0,No,Yes,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.25,677.64,No
8891-['M' 'P' 'M' 'N' 'C'],Female,0,No,No,10,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),42.63,445.93,Yes
4324-['F' 'R' 'S' 'E' 'O'],Female,0,Yes,No,47,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),76.39,3591.95,No
1009-['X' 'R' 'M' 'E' 'W'],Female,0,No,No,12,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,81.79,976.99,Yes
2015-['A' 'V' 'A' 'R' 'O'],Male,0,No,No,33,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,88.75,2948.70,Yes
8449-['Y' 'V' 'Q' 'M' 'A'],Female,0,Yes,No,66,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Two year,No,Credit card (automatic),66.87,4391.96,No
2633-['I' 'C' 'A' 'U' 'P'],Female,0,Yes,No,0,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,91.25, ,Yes
3000-['E' 'E' 'F' 'C' 'U'],Female,0,No,No,5,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,52.69,279.22,Yes
8190-['E' 'U' 'E' 'J' 'J'],Male,0,No,Yes,70,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),48.15,3377.57,Yes
5178-['Q' 'U' 'N' 'I' 'N'],Female,1,Yes,No,30,No,No phone service,Fiber optic,Yes,No,No,No,Yes,No,One year,No,Electronic check,84.42,2545.62,Yes
3048-['S' 'M' 'M' 'D' 'A'],Female,0,Yes,No,14,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),68.51,966.38,Yes
5976-['H' 'B' 'H' 'G' 'Z'],Male,0,No,No,69,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,96.25,6654.60,Yes
1249-['B' 'V' 'V' 'C' 'R'],Male,0,Yes,No,69,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,77.06,5325.03,Yes
5363-['A' 'V' 'L' 'E' 'Y'],Female,0,No,No,1,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,43.06,48.82,Yes
7544-['P' 'O' 'W' 'O' 'E'],Female,0,No,No,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,20.86,444.96,No
7996-['N' 'B' 'K' 'S' 'G'],Male,0,No,No,69,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.45,1256.36,No
7881-['F' 'R' 'B' 'R' 'O'],Female,0,No,Yes,5,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),90.05,438.61,Yes
8002-['S' 'B' 'T' 'Y' 'F'],Male,0,No,Yes,44,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,One year,Yes,Bank transfer (automatic),65.87,2938.02,No
8648-['X' 'O' 'W' 'J' 'S'],Male,0,No,No,16,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,42.85,674.95,No
3180-['D' 'J' 'X' 'Q' 'J'],Male,1,Yes,No,61,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),60.8,3692.81,Yes
